,Word,Frequency
617,polite,1
618,//t.co/agkfoonu6e,1
619,takes,1
620,breath,1
621,away,1
622,sunlight,1
623,g\xe2\x80\xa6,1
624,//t.co/dobfawatc9,1
625,tortuga,1
626,molamola,1
627,scubadiving,1
628,ctenophora,1
629,//t.co/tmjnayi6rm,1
630,zooplankton,1
631,s.,1
632,j.,1
633,sharkie,1
634,obvs\n,1
635,sjsharkie,1
636,\xf0\x9f\x90\x8b\xf0\x9f\x90\xb3,1
637,pelagic,1
638,snails,1
639,invertebrates,1
640,mammal,1
641,sheephead,1
642,category,1
643,snail,1
644,knows,1
645,wail,1
646,under,1
647,southern,1
648,\xf0\x9f\x98\x80,1
649,toolafan,1
650,twitter,1
651,toola\xe2\x80\xa6,1
652,//t.co/4qopcecic6,1
653,explanation,1
654,//t.co/5olrlxzvqc,1
655,//t.co/kpxodjok9a,1
656,//t.co/ehtbbmwf5h,1
657,viperfish,1
658,b\xe2\x80\xa6,1
659,//t.co/f2aexxeoxq,1
660,pet,1
661,absolutely,1
662,positively,1
663,longhorn,1
664,started,1
665,following,1
666,thanks,1
667,delightful,1
668,\nand,1
669,five,1
670,verdict,1
671,yeti,1
672,megalodon,1
673,dads,1
674,oarfish,1
675,mean-,1
676,clear,1
677,cat,1
678,ruler,1
679,//t.co/rz6ohihp7g,1
680,tube,1
681,sausages,1
682,//t.co/fxdpuabqjk,1
683,movie,1
684,\xf0\x9f\x8c\x8a\xf0\x9f\x90\xac\xf0\x9f\x90\x8b\xf0\x9f\x90\xb3,1
685,//t.co/bd8tqkwoz5,1
686,\xf0\x9f\x92\x96,1
687,//t.co/ywnurw0t29,1
688,\n\xe2\x9c\x94\xef\xb8\x8f,1
689,swims,1
690,ocean\n\xe2\x9c\x94\xef\xb8\x8f,1
691,causes,1
692,commotion\n\xe2\x9c\x94\xef\xb8\x8f,1
693,cause,1
694,awesome\n\xe2\x9c\x94\xef\xb8\x8f,1
695,und\xe2\x80\xa6,1
696,//t.co/z9cfg8bnug,1
697,justizin,1
698,dogs,1
699,urchin,1
700,nudibranc\xe2\x80\xa6,1
701,//t.co/xfcbxyyivu,1
702,spinner,1
703,//t.co/lcwkgahdo7,1
704,beauty,1
705,kobudai,1
706,ability,1
707,sex,1
708,mudskippers\xe2\x80\xa6,1
709,//t.co/algilxkmnv,1
710,tweetsbydrjay,1
711,want,1
712,brains,1
713,brawn,1
714,^^^,1
715,//t.co/uqrf2wpyfs,1
716,qualify,1
717,//t.co/5c0w5jv76c,1
718,//t.co/0lwc4ghcmg,1
719,aeolid,1
720,looks,1
721,bit,1
722,//t.co/zyorp7tmqo,1
723,funky,1
724,bros,1
725,//t.co/yutlvg3fnh,1
726,//t.co/fxho17k92w,1
727,munk,1
728,devil,1
729,mobula,1
730,munkiana,1
731,impressive,1
732,acrobatic,1
733,skills,1
734,//t.co/meuiohjx2i,1
735,lulu197140,1
736,drzoidberg,1
737,runner,1
738,goes,1
739,mushu,1
740,//t.co/n4qf6zgbqf,1
741,papa,1
742,horses,1
743,//t.co/3rlg97v99d,1
744,anglers,1
745,//t.co/5przhla2bn,1
746,simply,1
747,amiright,1
748,otter_news,1
749,//t.co/kep54kx24a,1
750,\xf0\x9f\x90\xa7,1
751,//t.co/klswymkmie,1
752,//t.co/dybbyrxjzf,1
753,//t.co/otvz2ise5y,1
754,badass,1
755,northern,1
756,kelp,1
