id,created_at,favorites,retweets,text
1055107657919414272,2018-10-24 14:44:03,2295,783,b'|\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3|\n     SEND NUDIBRANCHS\n|\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf|\n                             ||\n          \xe2\x9d\x80 ____/\\_/\\ ||\n          (_________\xe1\x9c\xb4'
1055103496800821248,2018-10-24 14:27:31,1,0,b'@Maryscove Check your local tide pools as well!'
1054910890829479936,2018-10-24 01:42:10,1,0,b'@VendelaD5 Best fishes for a happy anniversary!'
1054910746457305088,2018-10-24 01:41:35,111,21,b'Amazing sighting by @EVNautilus in our @MBNMS backyard!! \xf0\x9f\x91\xbb\xf0\x9f\x90\x99 https://t.co/8yiNnD8qC8'
1054888825334325248,2018-10-24 00:14:29,0,0,b'@Austonrut NICE!'
1054868321735127040,2018-10-23 22:53:01,5,0,"b""@Peebler_Elf Awesome! Fun fact for the uninitiated, that's its belly! They hang upside down on the surface tension\xe2\x80\xa6 https://t.co/Y9Bg8fKzFb"""
1054867899322523648,2018-10-23 22:51:20,1,0,b'@CactusMaudiiix \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1054865339706630144,2018-10-23 22:41:10,2,0,"b""@lilymrosenthal she's going for it wish her luck and a speedy recovery https://t.co/zYWonHYgK4"""
1054862198730719232,2018-10-23 22:28:41,49,5,"b""That's a general overview of the general makeup of nudibranchs in the most general of terms. A more specific questi\xe2\x80\xa6 https://t.co/GEuA4WFoA5"""
1054861468942790656,2018-10-23 22:25:47,89,15,"b""That last Janolus photo is from Monterey by local photographer JR Sosky (https://t.co/2xlDrl8nhN) \n\nHere's another\xe2\x80\xa6 https://t.co/KW8ml1W64Z"""
1054861466954690560,2018-10-23 22:25:46,50,10,"b'Aeolid nudibranchs like Janolus barbarensis have many projections on their backs called cerata, which increase the\xe2\x80\xa6 https://t.co/LafSLPdrMA'"
1054861465176272896,2018-10-23 22:25:46,32,6,"b'Next up, the gills! Dorid nudibranchs like the Hopkins Rose Okenia rosacea have tufts of gill plumes that project l\xe2\x80\xa6 https://t.co/mc64RaZlnk'"
1054858996048252928,2018-10-23 22:15:57,0,0,"b""@paolom @codinghorror These photos are from local underwater photographers. Let us know if you're looking for specifics!"""
1054858576122892288,2018-10-23 22:14:17,3,0,b'@catesish yes we are indeed we love a good bowiebranch tumbl'
