,Word,Frequency
638,in\xe2\x80\xa6,1
639,//t.co/fh2lipqxfm,1
640,here\xe2\x80\x99s,1
641,colouring,1
642,//t.co/n1qu9ohump,1
643,//t.co/6qxesedk1a,1
644,near,1
645,migratory,1
646,path,1
647,pick\xf0\x9f\x98\xb3\n\nif,1
648,\xf0\x9f\xa6\x91,1
649,//t.co/5z2xy30cno,1
650,symbol,1
651,wisdom,1
652,cute,1
653,closest,1
654,wan,1
655,\xf0\x9f\xa4\xa3,1
656,cephalopod,1
657,curnowbronwyn,1
658,//t.co/bhhqwmlhka,1
659,children,1
660,sealife,1
661,centre,1
662,//t.co/wsvmehs7lu,1
663,ariel,1
664,snapped,1
665,birmingham,1
666,//t.co/lkikepn6di,1
667,~from,1
668,tx,1
669,entry,1
670,race,1
671,mermaids,1
672,hippocampus,1
673,//t.co/eiivur39vg,1
674,//t.co/yqc8lu7kbg,1
675,\xf0\x9f\x96\xa4,1
676,\xf0\x9f\xa6\x88\xf0\x9f\x99\x8c,1
677,//t.co/dzojw5lj4s,1
678,particularly,1
679,\xf0\x9f\x90\x8b\xf0\x9f\x8c\x8a\xf0\x9f\x92\x9a\xf0\x9f\x98\xb8,1
680,//t.co/61n8quaws1,1
681,undoubtedly,1
682,yay,1
683,able,1
684,shape,1
685,recomme\xe2\x80\xa6,1
686,//t.co/1rvp31blyq,1
687,million,1
688,per,1
689,cent,1
690,weirdest,1
691,planet,1
692,incredib\xe2\x80\xa6,1
693,//t.co/0cyly6neb2,1
694,kathannibal,1
695,//t.co/hyry3dhl0e,1
696,galapagos,1
697,islands,1
698,cheeky,1
699,nipped,1
700,flippers,1
701,//t.co/qrnci6cp6c,1
702,local,1
703,equivalent,1
704,london,1
705,oyster,1
706,car\xe2\x80\xa6,1
707,//t.co/oqnyycmzka,1
708,grow,1
709,new,1
710,limbs,1
711,needed,1
712,sweetest,1
713,under-represented,1
714,emojis,1
715,squids,1
716,absolute,1
717,weren\xe2\x80\x99t,1
718,included,1
719,\xf0\x9f\x98\x85\xf0\x9f\x98\x8a,1
720,namu,1
721,hooray4rays,1
722,king,1
723,scallops,1
724,narwhale,1
725,content,1
726,//t.co/hmucgzsiyz,1
727,\xf0\x9f\x92\x9c,1
728,top,1
729,orca\nsea,1
730,lion\nshark\nplastic,1
731,las,1
732,ballenas,1
733,\xf0\x9f\x90\x8b\xf0\x9f\x90\xb3,1
734,severa\xe2\x80\xa6,1
735,//t.co/ga8ojjceup,1
736,\xf0\x9f\x98\x84,1
737,many,1
738,brains,1
739,strangeness,1
740,stingraaaaay,1
741,//t.co/sevx7k65gy,1
742,butvhow,1
743,//t.co/azw9asoznb,1
744,//t.co/7hftw7mbzl,1
745,maine,1
746,several,1
747,\xf0\x9f\x8c\x8a\xf0\x9f\x90\xb4,1
748,//t.co/dwhf6j3ku7,1
749,cowfish,1
750,//t.co/oproiuz6xh,1
751,hippocampo,1
752,she\,1
753,9,1
754,either,1
755,haven\'t,1
